Dists,,,,,,,,,,,
threshold ->,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,
Topn,,,,,,,,,,,
1,0.5081,0.467,0.4621,0.4918,0.4726,0.4421,0.4906,0.4506,0.4892,0.4458,0
2,0.4311,0.4105,0.4186,0.4096,0.4719,0.457,0.4629,0.3896,0.3986,0.411,0
3,0.453,0.4249,0.4643,0.4307,0.592,0.5408,0.5307,0.3398,0.4354,0.3883,0
4,0.3912,0.3765,0.4221,0.5274,0.489,0.5083,0.4643,0.4192,0.4035,0.385,0
5,0.3432,0.3914,0.378,0.4715,0.4868,0.475,0.4745,0.4135,0.3948,0.3063,0
6,0.3113,0.4214,0.554,0.5656,0.5055,0.4678,0.457,0.3945,0.4146,0.2738,0
7,0.3235,0.3153,0.496,0.5216,0.5347,0.5403,0.4285,0.3788,0.4303,0.2497,0
8,0.3767,0.3177,0.4789,0.5766,0.5357,0.5205,0.4452,0.3316,0.2991,0.3078,0
9,0.3047,0.3393,0.4535,0.4946,0.5376,0.4707,0.4037,0.4551,0.3488,0.2666,0
,,,,,,,,,,,
,,,,,,,,,,,
Dots,,,,,,,,,,,
threshold ->,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,
Topn,,,,,,,,,,,
1,0.4654,0.5223,0.4094,0.5486,0.4963,0.5679,0.4593,0.4857,0.4302,0.497,
2,0.4627,0.4476,0.4118,0.4538,0.4849,0.4838,0.4513,0.533,0.5419,0.521,
3,0.3928,0.353,0.397,0.3956,0.5274,0.5738,0.5409,0.4593,0.4142,0.4315,
4,0.3946,0.4172,0.364,0.5333,0.5346,0.5167,0.4859,0.5463,0.4905,0.439,
5,0.485,0.3875,0.4572,0.49,0.5626,0.5265,0.4686,0.4008,0.4802,0.398,
6,0.3593,0.3314,0.509,0.4711,0.4952,0.601,0.479,0.4456,0.4512,0.4125,
7,0.351,0.352,0.5247,0.5002,0.5821,0.5134,0.5176,0.4242,0.5147,0.303,
8,0.3129,0.3529,0.4872,0.5778,0.5533,0.5286,0.4921,0.4931,0.3978,0.293,
9,0.3762,0.3067,0.4847,0.5235,0.489,0.5222,0.4825,0.4406,0.3397,0.2557,
,,,,,,,,,,,
Dots and Dist,,,,,,,,,,,
threshold ->,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,
Topn,,,,,,,,,,,
1,0.4667,0.5272,0.5144,0.4936,0.4198,0.4748,0.5097,0.5935,0.5034,0.42,
2,0.4046,0.4335,0.5048,0.4747,0.5032,0.4497,0.4074,0.4947,0.4097,0.4076,
3,0.3949,0.4344,0.4042,0.3985,0.5262,0.5648,0.5117,0.4468,0.425,0.4366,
4,0.3688,0.4184,0.4454,0.5505,0.5409,0.5638,0.5211,0.4695,0.437,0.37,
